Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
390	0.0110143	0.0366330	0.0000186	0.0364640	0.0001504	
391	0.0902138	0.3293635	0.0012445	0.3030154	0.0251036	
392	0.0083223	0.0266390	0.0000106	0.0265687	0.0000598	
393	0.0031105	0.0468797	0.0000015	0.0114993	0.0353789	
394	0.3510804	1.7958590	0.0188476	1.3220770	0.4549339	
395	0.0818150	0.1611042	0.0010235	0.1511422	0.0089385	
396	0.0049194	0.0241638	0.0000037	0.0241601	0.0000000	
397	0.2328340	0.5872710	0.0082896	0.5461635	0.0328179	
398	0.0053887	0.0318495	0.0000044	0.0200776	0.0117674	
399	0.0757783	0.2049036	0.0008781	0.2040255	0.0000000	
400	0.2008568	1.0930530	0.0061690	0.9780841	0.1087999	
401	0.0084825	0.0411943	0.0000110	0.0304470	0.0107363	
402	0.0039432	0.0041221	0.0000024	0.0041198	0.0000000	
403	0.2350572	1.7605640	0.0084487	1.1389630	0.6131520	
404	0.0126676	0.0993707	0.0000245	0.0384377	0.0609084	
405	0.0141277	0.0161693	0.0000305	0.0161348	0.0000039	
406	0.0139697	0.0173986	0.0000298	0.0173572	0.0000116	
407	0.1753605	0.5084522	0.0047023	0.5032906	0.0004593	
408	0.1202150	0.5167511	0.0022098	0.3902948	0.1242465	
409	0.0352410	0.1692234	0.0001899	0.1690335	0.0000000	
410	0.1977291	0.6769230	0.0059784	0.6709446	0.0000000	
411	3.1085270	19.8282200	1.4775830	12.8763300	5.4743070	
412	0.0376560	0.0374579	0.0002168	0.0372411	0.0000000	
413	0.0047368	0.0188043	0.0000034	0.0188008	0.0000000	
414	0.0788657	0.3980089	0.0009511	0.3970579	0.0000000	
415	0.1411887	0.6810609	0.0030482	0.6780128	0.0000000	
416	0.0157972	0.0718028	0.0000382	0.0717646	0.0000000	
417	0.0201068	0.0848345	0.0000618	0.0847727	0.0000000	
